id,name,type,status,source,neighborhood,google_id,search,geometry,x,y,cell_id,zone
673,Eustis Street Playground,Parks,new,humancoding_fall,Roxbury,NA,NA,"c(-71.074382, 42.3262425)",-71.074382,42.3262425,109,validation
674,Evangelical Mount of Olives Baptist Church,Places of Worship,checked,google_api,Hyde Park,ChIJC16PnvN-44kRDcbFaCRkmts,place of worship,"c(-71.12442, 42.255106)",-71.12442,42.255106,17,boston
675,Evans Field,Parks,"new, visited",humancoding_fall,South Boston,NA,NA,"c(-71.0233828, 42.337755)",-71.0233828,42.337755,148,validation
676,Evans Way Park,Parks,"new, visited",humancoding_fall,Longwood,NA,NA,"c(-71.0982783, 42.3380286)",-71.0982783,42.3380286,124,validation
677,Evergreen Eatery & Cafe,Social Businesses,checked,google_api,Jamaica Plain,ChIJZSAVEYt544kRsaFkxUDcHDU,cafe,"c(-71.106705, 42.310547)",-71.106705,42.310547,75,validation
678,Exercises Matinales Missionary,Places of Worship,new,humancoding_fall,Hyde Park,NA,NA,"c(-71.1206488, 42.2666453)",-71.1206488,42.2666453,25,boston
679,Exotic Nails & Designs,Social Businesses,new,humancoding_fall,Roslindale,NA,NA,"c(-71.1186866, 42.2851061)",-71.1186866,42.2851061,45,boston
681,Fairview Cemetery,Parks,new,humancoding_fall,Hyde Park,NA,NA,"c(-71.1417306, 42.246917)",-71.1417306,42.246917,4,boston
682,Faith Christian Church,Places of Worship,checked,google_api,Dorchester,ChIJwZqyWuR744kRYsBhmDgwMQc,place of worship,"c(-71.089325, 42.294094)",-71.089325,42.294094,68,validation
683,Faith Family Center,Places of Worship,checked,google_api,Roxbury,ChIJlWMkfUh644kRoHHTy25c_ls,place of worship,"c(-71.070573, 42.325397)",-71.070573,42.325397,109,validation
685,Faith Temple Baptist Church,Places of Worship,new,humancoding_fall,Roslindale,NA,NA,"c(-71.1167166, 42.2803564)",-71.1167166,42.2803564,45,boston
686,Faith Urban Assembly,Places of Worship,"checked, visited",google_api,Dorchester,ChIJy4G0mpR744kRVnjM9YJx2j8,place of worship,"c(-71.070817, 42.293061)",-71.070817,42.293061,69,validation
687,Faithful Church of Christ,Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0893302, 42.2861943)",-71.0893302,42.2861943,58,boston
688,Fallon Field,Parks,new,humancoding_fall,Roslindale,NA,NA,"c(-71.135338, 42.2873006)",-71.135338,42.2873006,43,boston
689,Family Nurturing Center,Community Spaces,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0686792, 42.3051353)",-71.0686792,42.3051353,87,validation
690,Fan Pier Park,Parks,new,humancoding_fall,South Boston Waterfront,NA,NA,"c(-71.0464733, 42.3548123)",-71.0464733,42.3548123,176,validation
691,Faneuil Branch of the Boston Public Library,Community Spaces,checked,google_api,Brighton,ChIJVbSnGkB444kRENvbCQOwxZQ,library,"c(-71.167921, 42.351289)",-71.167921,42.351289,119,boston
692,Faneuil Gardens,Community Spaces,checked,google_api,Brighton,ChIJ0QE1azF444kRKOoiwS2CSHE,community center,"c(-71.152259, 42.356019)",-71.152259,42.356019,138,boston
693,Faneuil Gardens,Parks,new,humancoding_fall,Brighton,NA,NA,"c(-71.1521255, 42.3567127)",-71.1521255,42.3567127,138,boston
695,"Fannie Lou Hamer Community Garden
",Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0707448, 42.2964797)",-71.0707448,42.2964797,78,validation
696,Farah's Cafe Restaurant,Social Businesses,checked,google_api,Hyde Park,ChIJEVZxL41-44kRDCXpUQ-Kw6c,cafe,"c(-71.120391, 42.256354)",-71.120391,42.256354,17,boston
697,"FarmCollab | HOPE Garden
",Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.066772, 42.3007695)",-71.066772,42.3007695,78,validation
698,Farmer’s Horse Coffee,Social Businesses,new,humancoding_fall,Back Bay,NA,NA,"c(-71.083402, 42.341985)",-71.083402,42.341985,125,validation
699,"Faro Divino Shamah International Ministries, Inc",Places of Worship,checked,google_api,Roxbury,ChIJy7u-yjR644kRRtDZ5P3gsnM,place of worship,"c(-71.078242, 42.317703)",-71.078242,42.317703,97,validation
700,Fast Eddies Barbershop,Social Businesses,new,humancoding_fall,Allston,NA,NA,"c(-71.132001, 42.3511365)",-71.132001,42.3511365,140,boston
701,Father Jack Roussin Community Center,Community Spaces,checked,google_api,Jamaica Plain,ChIJTcCvp31544kRB-gB2bR6XsQ,community center,"c(-71.099372, 42.314292)",-71.099372,42.314292,84,validation
702,Federal Reserve Bank Research Library,Community Spaces,checked,google_api,Downtown,ChIJa5tN6YFw44kR8iH-n5-FB-Q,library,"c(-71.053416, 42.352676)",-71.053416,42.352676,164,validation
703,Fellowship Christian Church,Places of Worship,checked,google_api,Hyde Park,ChIJjwlb4_V-44kRwof6iq36kb0,place of worship,"c(-71.126691, 42.25048)",-71.126691,42.25048,10,boston
704,Fellowship Church of God,Places of Worship,checked,google_api,Jamaica Plain,ChIJ3VAEEYJ544kRnxsZGDVPzkM,place of worship,"c(-71.104234, 42.323074)",-71.104234,42.323074,95,validation
705,Fellowship Mission Church,Places of Worship,"checked, visited",google_api,Roxbury,ChIJrbLYRSh644kRN6gvBiijsi4,place of worship,"c(-71.095457, 42.328468)",-71.095457,42.328468,107,validation
706,"Fenelon Street Playground
",Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0796382, 42.3031937)",-71.0796382,42.3031937,77,validation
707,Fenway Church,Places of Worship,"checked, visited",google_api,Fenway,ChIJZWDwavF544kRPrtUCy12pbo,place of worship,"c(-71.1048552, 42.3470984)",-71.1048552,42.3470984,142,validation
708,Fenway Community Center,Community Spaces,checked,google_api,Fenway,ChIJ09zF5x1644kRN5cexs-_bUo,community center,"c(-71.097542, 42.344312)",-71.097542,42.344312,123,validation
